net_junctionCornerDetail;net_limitTurnSpeed;net_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;type_disallow;type_id;type_numLanes;type_oneway;type_priority;type_speed;edge_function;edge_id;lane_disallow;lane_id;lane_index;lane_length;lane_shape;lane_speed;edge_from;edge_name;edge_priority;edge_shape;edge_to;edge_type;param_key;param_value;edge_spreadType;tlLogic_id;tlLogic_offset;tlLogic_programID;tlLogic_type;phase_duration;phase_maxDur;phase_minDur;phase_state;junction_id;junction_incLanes;junction_intLanes;junction_shape;junction_type;junction_x;junction_y;request_cont;request_foes;request_index;request_response;connection_dir;connection_from;connection_fromLane;connection_state;connection_to;connection_toLane;connection_via;connection_linkIndex;connection_tl;connection_keepClear
5;5.50;1.20;;;;;;;;;;;internal;:3458580379_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3458580379_0_1;1;0.29;1405.53,936.78 1405.23,936.77;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3458580379_2;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3458580379_2_0;0;0.31;1405.42,930.38 1405.73,930.39;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:3458580379_2;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:3458580379_2_1;1;0.31;1405.33,933.58 1405.63,933.59;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_0_0;0;9.03;1331.91,937.64 1329.45,937.92 1327.67,938.91 1326.56,940.63 1326.14,943.07;6.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_1_0;0;14.41;1331.91,937.64 1317.50,937.18;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_1_1;1;14.41;1332.01,934.45 1317.60,933.99;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_3;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_3_0;0;16.86;1332.01,934.45 1328.18,933.57 1325.50,931.24 1323.97,927.44 1323.58,922.17;8.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_4;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_4_0;0;4.67;1332.01,934.45 1330.84,933.61 1330.46,932.80 1330.89,932.01 1332.11,931.25;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_5;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_5_0;0;9.04;1326.78,922.27 1327.06,924.73 1328.05,926.52 1329.77,927.62 1332.21,928.05;6.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_6;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_6_0;0;20.81;1326.78,922.27 1326.14,943.07;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_7;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_7_0;0;16.86;1326.78,922.27 1326.07,927.50 1324.30,931.20 1321.48,933.36 1317.60,933.99;8.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_8;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_8_0;0;4.67;1326.78,922.27 1325.95,923.45 1325.13,923.82 1324.35,923.40 1323.58,922.17;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_9;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_9_0;0;9.03;1317.81,927.59 1320.27,927.32 1322.05,926.33 1323.16,924.61 1323.58,922.17;6.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_10;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_10_0;0;14.41;1317.81,927.59 1332.21,928.05;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_10;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_10_1;1;14.41;1317.71,930.79 1332.11,931.25;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_12;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_12_0;0;16.86;1317.71,930.79 1321.53,931.66 1324.22,934.00 1325.75,937.80 1326.14,943.07;8.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_13;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_13_0;0;4.67;1317.71,930.79 1318.88,931.63 1319.25,932.44 1318.83,933.22 1317.60,933.99;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_14;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_14_0;0;9.05;1322.94,942.97 1322.66,940.51 1321.67,938.72 1319.94,937.61 1317.50,937.18;6.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_15;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_15_0;0;20.81;1322.94,942.97 1323.58,922.17;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_16;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_16_0;0;16.85;1322.94,942.97 1323.65,937.74 1325.42,934.04 1328.24,931.88 1332.11,931.25;8.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429407_17;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429407_17_0;0;4.67;1322.94,942.97 1323.78,941.79 1324.59,941.42 1325.37,941.84 1326.14,943.07;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429411_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429411_0_0;0;0.10;1328.19,877.14 1328.19,877.14;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429411_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429411_1_0;0;0.10;1324.99,877.04 1324.99,877.04;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_0_0;0;9.04;1330.18,813.11 1330.46,815.57 1331.45,817.36 1333.17,818.46 1335.61,818.89;6.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_1_0;0;11.21;1330.18,813.11 1329.83,824.31;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_2;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_2_0;0;1.44;1330.18,813.11 1329.35,814.28;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
